WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93706||HGR||||HAGERSTOWN, MD|RIGIONAL APT - RICHARD a. HENS||39.43|-77.44|704|704|704|
93718||CRE||||NORTH MYRTLE BEACH, SC|GRAND STRAND AIRPORT||33.49|-78.43|33|33|33|
93719||EWN|07|31|6108|NEW BERN, NC|CRAVEN COUNTY REG AIRPORT|FLIGHT SERVICE STA/FAA*940 AVIATION DRIVE*NEW BERN,NC,*28560*|35.04|-77.03|13|24|13|
93721|72406|BWI|04|18|0465|BALTIMORE, MD|BALTIMORE-WASHINGTON INT'L AP|NAT'L WEA SER OFC*BALT.- WASH, INT'L AIRPORT*BALTIMORE,MD.*21240*|39.10|-76.41|194|194|194|
93729|72304|HSE|08|31|1458|CAPE HATTERAS, NC|WEATHER SERVICE BUILDING|NAT'L WEA SER OFC*CAPE HATTERAS*PO BOX 100*BUXTON,NC 27920|35.14|-75.37|11|11|11|
93730|72407|ACY|02|28|0311|ATLANTIC CITY, NJ|AVIATION FACILITIES EXPER CNTR|NAT'L WEA SER OFC.,NOAA *FAA TECH., CTR., BLDG 301*ATLANTIC CITY,N.J. 08405|39.28|-74.28|115|115|115|
93736||CHO||||CHARLOTTESVILLE, VA|CHARLOTTES-ALBEMARLE AIRPT||38.08|-78.27|641|641|641|
93738|72403|IAD|04|44|8903|WASHINGTON DC/DULLES, VA|DULLES INTERNATIONAL AIRPORT|NAT'L WEA SER CONTRACT MET OBS*DULLES INT'L APT-BOX 17106*WASHINGTON, D.C.*20041*|38.56|-77.27|307|307|307|
93739|72402|WAL|01|44|8849|WALLOPS ISLAND, VA|WALLOPS FLIGHT FACILITY|NAT'L WEA SER OFC*WALLOPS STATION BLDG N-162*ATTN:SAM WEST RM 113*WALLOPS ISLAND, VA. 23337*|37.56|-75.3|46|46|46|
93740||FAY||||FAYETTEVILLE, NC|FAYETTEVILLE REGIONAL ARPT||34.59|-78.53|190|190|190|
93743|723097|NJM||||SWANSBORO, NC|BOGUE FIELD|COMMANDING OFFICER*ATTN WEATHER OFFICER*NWSS 271 PSC*BOX 8078 MCAS*CHERRY POINT, NC 28533|34.41|-77.02|22|22|29|
93773||AKQ||||WAKEFIELD, VA|WAKEFIELD MUNI AIRPORT||36.59|-77.01|210|210|210|
93775||OFP||||RICHMOND/ASHLAND, VA|HANOVER COUNTY MUNICIPAL AP||37.43|-77.26|205|205|205|
93776||KNIS||||CHERRY POINT, NC|CHERRY POINT/MCAS ASOS 2||34.53|-76.52|30|30|30|
93778||THV||||YORK, PA|YORK AIRPORT||39.55|-76.52|486|486|486|
93780||VAY||||MOUNT HOLLY, NJ|SOUTH JERSEY REGIONAL APT||39.56|-74.5|53|53|53|
93781||RZZ||||ROANOKE RAPIDS, NC|HALIFAX COUNTY AIRPORT||36.26|-77.43|255|255|255|
93782||MEB||||MAXTON, NC|LAURINBURG-MAXTON AIRPORT||34.47|-79.22|220|220|220|
93783||BUY||||BURLINGTON, NC|BURLINGTON ALAMANCE RGL AP||36.03|-79.29|616|616|616|
93784||DMH||||BALTIMORE, MD|BALTIMORE DOWNTOWN||39.17|-76.37|18|19|19|
93785||IGX||||CHAPEL HILL, NC|CHAPEL HILL-WILLIAMS AIRPT||35.56|-79.04|512|512|512|
93786||OXB||||OCEAN CITY, MD|OCEAN CITY MUNI AIRPORT||38.19|-75.07|12|12|12|
93801|72320|RMG||09|7610|ROME, GA|R.B. RUSSEL AIRPORT||34.21|-85.1|640|640|640|
93805|72214|TLH|01|08|8758|TALLAHASSEE, FL|MUNICIPAL AIRPORT|NAT'L WEA SER OFC*REGIONAL ARPT*3238 CAPITOL CIRCLE,SW*TALLAHASSEE,FL.32310*|30.23|-84.21|55|55|55|
93806||TCL|03|01|8380|TUSCALOOSA, AL|TUSCALOOSA MUNICIPAL ARPT.||33.13|-87.37|170|170|170|
93807||INT||||WINSTON-SALEM, NC|SMITH REYNOLDS AIRPORT||36.08|-80.13|970|970|970|
93808||BWG|02|15|0909|BOWLING GREEN, KY|BOWLING GREEN CITY-CO. ARPT|FAA/FLIGHT SERVICE STATION*1010 WOODHURST*BOWLING GREEN, KY.*42103*|36.59|-86.26|528|536|536|
93810||MDH||||CARBONDALE, IL|SOUTHERN ILLINOIS APT||37.47|-89.15|411|411|411|
93812||LUK|08|33|1576|CINCINNATI-LUNKEN, OH|MUNI ARPT/LUNKEN FIELD|WEATHER DATA SERVICES INC.*ATTN:CLARENCE H. GOFF JR.*465 WILMER AVE*CINCINNATI, OH. 45226*|39.06|-84.25|483|497|489|
93814|72421|CVG|03|15|1855|COVINGTON/CINCINNATI, KY|CINCINNATI/NORTHERN KY INT||39.02|-84.4|885|885|885|
93815|72429|DAY|08|33|2075|DAYTON, OH|INTERNATIONAL AIRPORT|NAT'L WEA SER OFC*3800 WRIGHT DRIVE*DAYTON INT'L AP*VANDALIA,OH 45377|39.55|-84.13|1002|1002|1002|
93817|72432|EVV|07|12|2738|EVANSVILLE, IN|DRESS REGIONAL AIRPORT|NAT'L WEA SER OFC, NOAA*5603 U.S. 41 NORTH*EVANSVILLE,IN.*47711-1919*|38.02|-87.32|381|381|381|
93819|72438|IND|05|12|4259|INDIANAPOLIS, IN|INTERNATIONAL AIRPORT|NAT'L WEA SVC FCST OFC*6900 WEST HANNA AVE*INDIANAPOLIS, IN.*46241-9526*|39.43|-86.16|796|796|796|
93820|72422|LEX|03|15|4746|LEXINGTON, KY|BLUE GRASS FIELD|NAT'L WEA SER OFC*BLUE GRASS FIELD*LEXINGTON,KY.*40510-9607*|38.02|-84.37|965|965|965|
93821|72423|SDF|02|15|4954|LOUISVILLE, KY|STANDIFORD FIELD|NAT'L WEA SER OFC*1020 STANDIFORD LANE*LOUISVILLE, KY  40213-2022*|38.11|-85.44|481|481|481|
93822|72439|SPI|06|11|8179|SPRINGFIELD, IL|CAPITAL AIRPORT|NAT'L WEA SER 0FC*4 N APRT ROAD*CAPITAL AIRPORT*SPRINGFIELD, IL 62708-8417|39.51|-89.41|595|595|595|
93831|722085|NBC||||BEAUFORT, SC|BEAUFORT MCAS|ATTN  WEATHER SERVICE OFFICER*MARINE CORPS AIR STATION*P O BOX     55001*BEAUFORT  SC  29904-5010|32.29|-80.43|29|38|37|
93832|722067|NZC||||CECIL FIELD, FL|CECIL FIELD NAS|NAVAL ATLANTIC METEOROLOGY AND*OCEANOGRAPHY DETACHMENT*BOX 154 NAVAL AIR STATION*CECIL FIELD  FL  32215-0154|30.13|-81.53|80|80|87|
93837|722065|NIP||||JACKSONVILLE, FL|JACKSONVILLE NAS|NAVAL ATLANTIC METEOROLOGY AND*OCEANOGRAPHY FACILITY*PO BOX 85  NAVAL AIR STATION*JACKSONVILLE  FL  32212-0085|30.14|-81.4|18|22|41|
